name,num
"卷","45581"
"中","7848"
"无","7786"
"云","7661"
"君","7282"
"归","7273"
"为","7143"
"来","7094"
"春","6832"
"时","6441"
"见","6399"
"月","6261"
"日","6178"
"山","5999"
"与","5716"
"作","5696"
"花","5521"
"风","5473"
"送","5412"
"秋","5339"
"多","5277"
"李","5214"
"寄","5135"
"空","5106"
"客","5019"
"自","4902"
"还","4849"
"如","4830"
"欲","4781"
"长","4744"
"此","4690"
"尽","4682"
"未","4677"
"寒","4597"
"何","4578"
"入","4382"
"闻","4382"
"清","4305"
"远","4303"
"已","4256"
"生","4247"
"高","4235"
"谁","4222"
"玉","4204"
"行","4177"
"将","4159"
"水","4150"
"应","4127"
"知","4117"
"心","4065"
"更","4034"
"相","3995"
"下","3966"
"之","3908"
"新","3821"
"夜","3819"
"诗","3755"
"别","3747"
"愁","3711"
"树","3707"
"天","3694"
"向","3658"
"张","3641"
"望","3622"
"道","3600"
"飞","3581"
"深","3534"
"王","3514"
"思","3497"
"出","3490"
"闲","3490"
"歌","3447"
"同","3429"
"朝","3414"
"独","3410"
"复","3382"
"开","3343"
"酒","3327"
"似","3282"
"金","3278"
"书","3270"
"雨","3265"
"游","3262"
"亦","3259"
"雪","3225"
"犹","3183"
"莫","3175"
"事","3161"
"起","3133"
"过","3129"
"前","3078"
"烟","3070"
"回","3046"
"白","3034"
"年","3016"
"路","3005"
"题","2990"
"满","2966"
"初","2965"
"明","2935"
"声","2930"
"赠","2923"
"吟","2902"
"成","2895"
"难","2894"
"身","2855"
"因","2818"
"从","2804"
"醉","2787"
"馀","2775"
"香","2763"
"重","2763"
"居易","2738"
"白居易","2735"
"处","2672"
"老","2646"
"后","2637"
"林","2628"
"草","2613"
"能","2601"
"忆","2553"
"非","2551"
"里","2546"
"落","2540"
"江","2528"
"家","2526"
"方","2523"
"梦","2514"
"松","2512"
"随","2482"
"公","2466"
"青","2460"
"孤","2446"
"竹","2444"
"石","2440"
"旧","2416"
"晚","2350"
"今","2339"
"辞","2323"
"共","2322"
"言","2322"
"坐","2319"
"尘","2316"
"门","2315"
"鸟","2311"
"马","2302"
"晓","2301"
"怀","2281"
"若","2275"
"又","2259"
"红","2248"
"宿","2215"
"轻","2197"
"寻","2176"
"对","2176"
"子","2170"
"衣","2169"
"却","2150"
"霜","2140"
"岂","2138"
"休","2125"
"分","2123"
"发","2111"
"露","2108"
"问","2093"
"曾","2080"
"逢","2080"
"元","2065"
"古","2055"
"惊","2035"
"色","2024"
"当","2021"
"城","2012"
"仙","2005"
"寺","2001"
"情","2001"
"光","1979"
"暮","1978"
"溪","1943"
"南","1932"
"期","1920"
"柳","1914"
"且","1909"
"静","1906"
"三","1904"
"隐","1902"
"僧","1898"
"泉","1898"
"楚","1895"
"钱","1892"
"罗","1888"
"合","1871"
"鹤","1869"
"曲","1869"
"翠","1867"
"幽","1865"
"叶","1864"
"刘","1862"
"吾","1852"
"齐","1845"
"至","1844"
"近","1842"
"留","1837"
"听","1830"
"碧","1829"
"东","1822"
"常","1821"
"奉","1804"
"临","1803"
"吴","1802"
"微","1797"
"西","1796"
"绿","1790"
"流","1787"
"亭","1786"
"楼","1768"
"经","1767"
"龙","1764"
"芳","1764"
"兮","1750"
"登","1750"
"垂","1748"
"皆","1743"
"汉","1743"
"名","1733"
"所","1732"
"阴","1730"
"野","1730"
"边","1725"
"紫","1719"
"连","1719"
"笑","1714"
"雁","1692"
"悲","1690"
"久","1683"
"何处","1681"
"意","1677"
"才","1672"
"影","1670"
"使","1666"
"少","1663"
"舟","1657"
"可","1654"
"动","1653"
"外","1648"
"以","1641"
"庭","1638"
"病","1632"
"居","1632"
"忽","1631"
"宫","1626"
"池","1617"
"须","1613"
"黄","1610"
"离","1604"
"终","1596"
"气","1585"
"疏","1582"
"恨","1578"
"州","1568"
"华","1566"
"间","1564"
"恩","1562"
"者","1555"
"转","1553"
"唯","1553"
"照","1553"
"秦","1549"
"其","1547"
"早","1545"
"枝","1543"
"始","1528"
"波","1524"
"正","1519"
"谢","1512"
"台","1511"
"酬","1508"
"胡","1504"
"北","1498"
"咏","1497"
"许","1482"
"断","1481"
"朱","1475"
"不知","1475"
"传","1471"
"泪","1469"
"半","1468"
"御","1468"
"万里","1466"
"于","1458"
"官","1455"
"爱","1453"
"文","1453"
"鸣","1443"
"真","1440"
"阁","1434"
"暗","1434"
"小","1433"
"岁","1431"
"舞","1429"
"先","1428"
"只","1427"
"即","1421"
"逐","1410"
"待","1402"
"遥","1399"
"凤","1398"
"乐","1395"
"窗","1388"
"移","1377"
"崔","1377"
"绕","1374"
"通","1372"
"迟","1364"
"陈","1363"
"堪","1361"
"双","1359"
"虽","1357"
"苦","1356"
"兴","1353"
"残","1350"
"散","1346"
"景","1340"
"晴","1337"
"杨","1326"
"喜","1324"
"德","1323"
"隔","1323"
"千里","1320"
"栖","1319"
"令","1318"
"燕","1318"
"绝","1317"
"虚","1313"
"尔","1309"
"斜","1309"
"岩","1308"
"怜","1304"
"平","1302"
"语","1302"
"直","1302"
"倚","1294"
"周","1294"
"郎","1291"
"杂","1285"
"疑","1285"
"尚","1283"
"灵","1282"
"带","1281"
"两","1281"
"沈","1274"
"愿","1273"
"万","1267"
"阳","1260"
"兼","1257"
"徒","1256"
"二首","1255"
"含","1255"
"频","1248"
"著","1240"
"卢","1232"
"乱","1231"
"故","1226"
"穷","1222"
"帝","1221"
"足","1221"
"玄","1216"
"观","1212"
"神","1212"
"谷","1210"
"拂","1205"
"羽","1202"
"郑","1202"
"鱼","1200"
"乡","1199"
"便","1198"
"卧","1196"
"不见","1196"
"杜甫","1189"
"千","1185"
"征","1181"
"觉","1181"
"兰","1180"
"大","1174"
"今日","1168"
"侍","1166"
"死","1166"
"夕","1166"
"关","1164"
"郡","1163"
"春风","1158"
"宴","1154"
"昔","1154"
"不可","1148"
"映","1144"
"白云","1142"
"沙","1139"
"吹","1138"
"争","1132"
"木","1122"
"轩","1121"
"九","1120"
"结","1112"
"剑","1111"
"师","1110"
"殿","1109"
"美","1105"
"海","1103"
"眠","1103"
"忧","1102"
"圣","1098"
"几","1097"
"凝","1096"
"琴","1095"
"信","1095"
"峰","1094"
"裴","1093"
"识","1090"
"胜","1088"
"群","1087"
"他","1079"
"伤","1077"
"赋","1075"
"庙","1075"
"度","1072"
"越","1071"
"干","1067"
"岸","1067"
"星","1064"
"罢","1062"
"赴","1061"
"稀","1060"
"塞","1060"
"女","1060"
"镜","1059"
"珠","1059"
"画","1059"
"念","1056"
"翻","1047"
"傍","1047"
"1","1043"
"安","1042"
"荣","1040"
"劳","1040"
"五","1037"
"长安","1037"
"乘","1036"
"素","1035"
"骑","1033"
"头","1032"
"阙","1026"
"钟","1025"
"掩","1024"
"饮","1022"
"惜","1022"
"依","1019"
"陵","1015"
"解","1013"
"感","1012"
"二","1010"
"任","1010"
"遇","1005"
"己","1005"
"丹","1004"
"亲","1004"
"易","1004"
"幸","1002"
"引","1002"
"浮","997"
"命","996"
"本","995"
"物","993"
"韦","989"
"容","988"
"径","988"
"宁","986"
"苔","986"
"惟","986"
"顾","983"
"不得","979"
"韩","976"
"悬","975"
"桂","974"
"堂","974"
"教","973"
"暖","972"
"李白","972"
"百","970"
"府","969"
"偏","967"
"贵","967"
"梁","966"
"及","966"
"韵","958"
"3","956"
"国","956"
"怨","956"
"世","954"
"猿","954"
"立","951"
"接","949"
"但","944"
"5","944"
"渐","942"
"功","940"
"节","937"
"故人","935"
"12","932"
"2","931"
"明月","930"
"郊","929"
"车","923"
"10","923"
"冷","919"
"薄","918"
"啼","917"
"4","916"
"荒","915"
"13","913"
"忘","913"
"洞","913"
"11","912"
"贤","911"
"皇","909"
"曹","908"
"徐","907"
"用","906"
"仍","904"
"浪","904"
"8","903"
"词","903"
"献","902"
"横","900"
"斋","900"
"制作","898"
"迎","898"
"破","897"
"学","897"
"然","896"
"求","896"
"访","895"
"建文","895"
"无人","893"
"既","893"
"取","892"
"19","892"
"折","890"
"人间","889"
"偶","888"
"9","886"
"兹","885"
"7","884"
"承","883"
"6","883"
"霞","879"
"魂","878"
"火","878"
"住","877"
"衰","872"
"句","871"
"川","869"
"16","868"
"弦","867"
"欢","867"
"侵","867"
"15","866"
"14","865"
"迷","863"
"禅","863"
"18","862"
"贾","861"
"宅","859"
"低","859"
"蜀","858"
"四","857"
"田","857"
"20","856"
"被","855"
"锦","851"
"夏","850"
"遗","850"
"籍","846"
"迹","843"
"步","841"
"17","841"
"帆","840"
"士","840"
"二十","840"
"贫","840"
"风吹","837"
"异","837"
"暂","835"
"21","835"
"凉","833"
"急","828"
"丝","827"
"极","827"
"缘","826"
"诸","822"
"字","822"
"薛","819"
"图","819"
"采","819"
"永","818"
"赏","816"
"殊","814"
"药","814"
"浑","811"
"倾","809"
"灯","807"
"叹","807"
"食","805"
"洲","803"
"苑","802"
"每","802"
"刘禹锡","800"
"持","795"
"定","792"
"儿","792"
"喧","791"
"赵","788"
"侯","785"
"主","784"
"惆怅","783"
"嗟","783"
"23","783"
"尊","782"
"失","781"
"乃","780"
"帘","779"
"27","779"
"建","778"
"船","778"
"相思","778"
"礼","777"
"26","777"
"颜","776"
"阶","776"
"况","776"
"浦","776"
"姚","775"
"使君","775"
"湿","774"
"24","773"
"遂","773"
"伴","771"
"惭","771"
"催","771"
"泛","770"
"良","769"
"宜","769"
"枕","769"
"岛","767"
"馆","766"
"论","765"
"往","764"
"摇","760"
"由","760"
"唐","760"
"报","758"
"鬓","757"
"秋风","757"
"25","751"
"凭","749"
"冰","748"
"岭","747"
"22","746"
"少年","745"
"梅","744"
"飘","743"
"岳","743"
"收","743"
"吏","742"
"悠悠","740"
"贯","740"
"严","739"
"贺","737"
"杯","736"
"鸿","734"
"众","734"
"十二","733"
"变","731"
"鸡","729"
"邻","728"
"曙","727"
"并","722"
"泥","722"
"乌","721"
"村","720"
"28","716"
"臣","715"
"鸾","714"
"岑","713"
"陶","710"
"渚","709"
"哭","709"
"彩","709"
"省","708"
"销","708"
"江上","707"
"江南","707"
"投","705"
"驾","705"
"妾","705"
"想","705"
"数","703"
"答","703"
"拜","702"
"白日","702"
"守","698"
"各","698"
"藏","698"
"莲","697"
"那","696"
"繁","696"
"携","696"
"细","696"
"蝉","695"
"莺","694"
"章","694"
"棹","693"
"交","692"
"称","690"
"如何","689"
"俱","686"
"遍","686"
"青山","685"
"十年","682"
"羡","681"
"席","679"
"兵","678"
"河","677"
"恐","677"
"把","676"
"抱","675"
"参","672"
"筵","671"
"冥","669"
"洛","669"
"攀","669"
"29","667"
"何人","664"
"室","664"
"根","664"
"全","663"
"孙","662"
"武","661"
"鼓","661"
"化","657"
"竟","656"
"斗","656"
"弄","655"
"杜","655"
"萧","654"
"丛","654"
"招","653"
"郭","651"
"陪","651"
"封","650"
"没","649"
"骨","647"
"戏","646"
"笼","645"
"列","644"
"园","644"
"相逢","643"
"举","643"
"危","641"
"京","639"
"稹","636"
"房","635"
"院","635"
"30","635"
"将军","633"
"员外","633"
"31","633"
"漏","633"
"再","632"
"皎然","631"
"巢","630"
"户","629"
"比","628"
"井","627"
"俗","627"
"氏","626"
"集","626"
"卿","625"
"驿","623"
"钓","622"
"蓬","620"
"六","619"
"壁","619"
"三十","618"
"禁","617"
"融","616"
"32","616"
"奏","616"
"山中","615"
"乐章","614"
"盘","614"
"闭","614"
"昏","613"
"晨","613"
"呈","613"
"端","612"
"狂","612"
"翁","611"
"拥","611"
"庄","611"
"舆","610"
"荷","610"
"绣","610"
"涧","605"
"拟","604"
"昼","603"
"33","602"
"降","602"
"洛阳","600"
"丘","600"
"雾","600"
"凌","600"
"床","599"
"平生","597"
"积","597"
"幕","597"
"衔","597"
"孟郊","596"
"黄金","595"
"天子","595"
"应物","595"
"寂寞","594"
"禽","593"
"嘉","592"
"盖","591"
"音","591"
"韩愈","590"
"哀","590"
"负","590"
"势","590"
"披","589"
"穿","589"
"修","589"
"盛","588"
"主人","587"
"天地","587"
"挂","586"
"力","585"
"县","584"
"烧","582"
"旌","581"
"陆龟蒙","580"
"陆龟","580"
"35","577"
"34","577"
"何事","576"
"宝","575"
"理","575"
"系","575"
"十","574"
"春日","573"
"响","573"
"司空","573"
"友人","570"
"眼","570"
"指","569"
"诚","569"
"潜","567"
"桥","566"
"韦应物","566"
"宵","565"
"李商隐","565"
"管","565"
"轮","564"
"遣","562"
"扫","562"
"太","562"
"最","561"
"手","561"
"流水","561"
"诏","560"
"英","558"
"帐","558"
"内","557"
"36","557"
"益","557"
"疾","555"
"曲歌辞","554"
"37","553"
"冠","552"
"杨柳","552"
"泣","550"
"琼","549"
"象","549"
"试","548"
"渡","548"
"郎中","547"
"迥","547"
"虎","547"
"刘长卿","546"
"浅","546"
"或","546"
"机","545"
"枯","545"
"斯","544"
"可怜","544"
"回首","544"
"恋","543"
"白发","543"
"荐","542"
"旅","542"
"陌","542"
"密","541"
"强","540"
"调","538"
"洞庭","538"
"纶","537"
"别离","537"
"净","536"
"达","536"
"杳","535"
"属","532"
"奇","531"
"添","528"
"短","528"
"如此","528"
"牵","528"
"庆","527"
"戎","527"
"潭","525"
"苏","524"
"沾","522"
"歇","522"
"38","522"
"今朝","522"
"放","521"
"菊","521"
"沧","520"
"聊","520"
"相公","520"
"雄","518"
"权","518"
"泽","517"
"尝","517"
"背","517"
"覆","515"
"甘","515"
"39","515"
"行人","513"
"载","512"
"驻","512"
"谒","511"
"绮","511"
"日暮","510"
"日月","510"
"土","510"
"仁","509"
"广","509"
"鲁","509"
"从此","508"
"落日","508"
"桑","507"
"邑","507"
"息","505"
"归去","505"
"尧","503"
"窥","503"
"杜牧","503"
"霁","503"
"存","503"
"种","502"
"志","501"
"不如","500"
"桃花","500"
"陆","499"
"厌","498"
"42","498"
"嫌","497"
"旋","497"
"皇甫","497"
"烛","497"
"妆","494"
"趋","493"
"八","492"
"次","492"
"肃","491"
"余","491"
"戍","491"
"司","491"
"不能","490"
"毛","490"
"南山","490"
"艳","489"
"应制","488"
"延","487"
"41","487"
"迁","487"
"锁","487"
"谓","486"
"寿","486"
"湘","485"
